,id,url,access_date,section_timestamp_start,section_timestamp_end,label,speaker,transcript,multimodal_annotation_01,multimodal_annotation_02,multimodal_annotation_03,full_agreement,audio_annotation_01,audio_annotation_02,video_annotation_01,video_annotation_02,text_annotation_01,text_annotation_02
0,1,https://www.youtube.com/watch?v=BARp4QYGg38,08.08.2025,00:02:54,00:03:00,sarc,male, Das hat nicht geklappt. Ist aber auch schon zwei Monate her. Also nach Söder-Zeitrechnung sieben Meinungswechsel.,sarc,sarc,sarc,True,sarc,sarc,non-sarc,non-sarc,sarc,sarc
1,2,https://www.youtube.com/watch?v=BARp4QYGg38,08.08.2025,00:03:00,00:03:14,sarc,male," Söder hat aktuell ein bisschen Zoff mit dem CDU-Mann Daniel Günther. Günther sagte, Söder solle nicht die ganze Zeit von Schwarz-Grün reden. Söder hat seriös und ohne persönlich zu werden geantwortet.",sarc,sarc,sarc,True,sarc,non-sarc,sarc,sarc,sarc,sarc
2,3,https://www.youtube.com/watch?v=IgT7YJdNFnk,08.08.2025,00:02:14,00:02:19,non-sarc,male," Leider machen diese Vapes nicht nur Erwachsene süchtig, sondern auch Kinder und Jugendliche.",sarc,non-sarc,non-sarc,False,non-sarc,non-sarc,sarc,non-sarc,non-sarc,non-sarc
3,4,https://www.youtube.com/watch?v=y2kk8W4RNd8,08.08.2025,00:00:55.5,00:01:07,non-sarc,male," Das Problem all dieser Sendungen, man hechelt durch die Themen, es kommen die üblichen Antwortstanzen und dann zieht der Zirkus weiter ins nächste Studio. Überraschungen keine, Erkenntnisgewinn wenig.",sarc,non-sarc,non-sarc,False,sarc,non-sarc,non-sarc,sarc,non-sarc,sarc
4,5,https://www.youtube.com/watch?v=y2kk8W4RNd8,08.08.2025,00:01:53,00:01:57.2,sarc,male, Genau so und nur so gewinnt man die Herzen der Menschen.,sarc,sarc,sarc,True,non-sarc,sarc,sarc,sarc,sarc,non-sarc
5,6,https://www.youtube.com/watch?v=y2kk8W4RNd8,08.08.2025,00:03:51,00:04:00.8,non-sarc,male, Das Sonntagsduell war leider insgesamt kein Ruhmesblatt. 30 Minuten von 90 nur über Migration und Brandmauer. 30 Minuten.,non-sarc,non-sarc,non-sarc,True,non-sarc,non-sarc,sarc,non-sarc,sarc,non-sarc
6,7,https://www.youtube.com/watch?v=y2kk8W4RNd8,08.08.2025,00:04:01,00:04:10,sarc,male," Ja, wichtiges Thema, aber es gibt doch auch noch andere. Oder glaubt irgendwer ernsthaft, alle Probleme werden hier gelöst, wenn nur die Grenze erst dicht ist? Bitte?",sarc,sarc,sarc,True,non-sarc,sarc,sarc,non-sarc,non-sarc,sarc
7,8,https://www.youtube.com/watch?v=y2kk8W4RNd8,08.08.2025,00:19:48,00:19:57,non-sarc,male," Ewige Chemikalien, man findet sie überall, im Regen, in menschlichem Blut, selbst in der Arktis wurde PFAS jetzt schon nachgewiesen, in der Arktis.",sarc,non-sarc,non-sarc,False,non-sarc,non-sarc,sarc,sarc,non-sarc,non-sarc
8,9,https://www.youtube.com/watch?v=0dpmEK2rce0,08.08.2025,00:01:58,00:02:21,sarc,male," Beim ersten Duell zwischen Scholz und Merz diese Woche fand ich eines ganz interessant. Nämlich die Gesprächstaktik von Olaf Scholz. Nachdem man ihm in der Ampel 3 Jahre lang Führungsschwäche vorgehoffen hatte, musste er jetzt wirklich mal, er musste es deutlich herauskehren, was er, Scholz, alles Tolles gemacht hat. Und zwar er ganz alleine.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
9,10,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:00:00,00:00:06,sarc,male," Gleich mal eine persönliche Frage. Hatten Sie eine schöne Woche, meine Damen und Herren? Oder haben Sie Aktien?",sarc,sarc,sarc,True,sarc,sarc,non-sarc,sarc,sarc,non-sarc
10,11,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:00:06,00:00:11.15,non-sarc,male," Ach ja, die Nachrichtenlage macht echt gar keinen Spaß mehr in diesen Tagen.",sarc,non-sarc,non-sarc,False,non-sarc,sarc,sarc,sarc,non-sarc,non-sarc
11,12,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:02:33,00:02:44,sarc,male," So, die Unionsbasis ist derweil immer noch irgendwie sauer auf Friedrich Merz. Auch weil er sich angeblich zu sehr von der SPD über den Tisch hat ziehen lassen.",sarc,sarc,non-sarc,False,non-sarc,non-sarc,sarc,sarc,non-sarc,non-sarc
12,13,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:06:32.2,00:06:44,sarc,male," Erschreckend wenig zum ganzen Themenkomplex Klimawandel. Sehr wenig, aber gut, eilt ja auch nicht. Ich sag mal, im Bodensee sind ja fast noch drei Liter Wasser drin, wie man hört.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
13,14,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:07:36,00:07:54,sarc,male," Eine große Migrationswende soll nun die Handschrift der Union in der neuen Regierung sein. Wie schön, jedenfalls für die AfD. So werden bei einem hochkomplexen, wohlgemerkt europäischen Thema weiter kaum erfüllbare Erwartungen geweckt und die AfD-Umfragewerte bleiben wohl super.",sarc,non-sarc,sarc,False,non-sarc,sarc,sarc,sarc,non-sarc,sarc
14,15,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:12:45,00:12:52,sarc,male," Ich sag mal so, wenn der Wehrdienst das beste Jahr deines bisherigen Lebens war, dann war dein bisheriges Leben relativ scheiße.",sarc,sarc,sarc,True,sarc,sarc,sarc,sarc,sarc,sarc
15,16,https://www.youtube.com/watch?v=T0s7hGasxDg,08.08.2025,00:14:06,00:14:20,non-sarc,male," So, noch in diesem Jahr sollen Voraussetzungen für Wehrerfassung und Wehrüberwachung geschaffen werden. Das heißt, wir müssen hier erstmal rauskriegen, wen wir überhaupt noch im Bestand haben. An wehrfähigen Reservisten zum Beispiel.",non-sarc,sarc,non-sarc,False,sarc,non-sarc,non-sarc,sarc,sarc,non-sarc
