text,label
您别了余好多聪明啊,0
小心引火烧身,1
你瞅你这样儿你,1
达康书记跟前凑是吗,1
哦,0
我来顶包了,0
你把他哄出去,0
这里面一定有问题,0
又来了,0
唯我独尊的江湖地位,1
我们都快等睡着了,1
可是你要的不是窝瓜,1
还有老丁他也不是好东西,1
谁敢相信,1
你们这不也是为了一己私欲贼喊抓贼吗,1
我们等着迎接黎明曙光,1
我不许你这样说我爹,0
不要跟任何人说,0
多准备几双小鞋了,1
叫你们俩一整我都不敢谈恋爱了,0
你到底是想跟他接触,0
原来局长的问题一直等着他解决呢,1
现在勉强能自己说话了,1
我给你们一人一万块钱,0
还真得好好感谢你呢,1
那是面试应该穿的衣服吗,1
也得早点找工作呀,1
原来当捕快靠的是智慧不是蛮力,1
嗯谢了,1
没完没了地纠结,0
还想抵赖我全都看见啦,0
由此可见袁绍兵多却是庸主,1
我们很遗憾,1
不敢当我是刀子嘴斧子心,1
像我这种被公安部通缉的人,0
但是我还是想对你说三个字,0
你跟我来一个君子协定,0
把它穿起来进城了,1
野尻太君的无能,1
案子办多了傻子都会,1
咱们得赶快派人去把江滩那堵住啊,0
你就是不跟她比,0
我只认徐少爷,0
曹仁哪兵法教出来的都是呆子,0
怎么可能没事呢,1
都生了仨儿子了,0
你们十几个打过仗的,0
不敢见人了,1
对吧,0
牲口嘛都是为皇军效力的,1
经过这一晚,0
就要冲到省公安厅的招待所去了,1
非要打高尔夫,1
你哪里冒出来的,1
世杰和晓明都没意见,0
那那怎么联系啊,0
我就知道你舍不得,0
你在我身上浪费一分钟,0
反正我该说的都说了,1
走,0
你看我们班也搞节目的,0
皇军光靠武力是征服不了中国的,0
什么感悟说来听听,0
都市中人实际得很,1
现在应该快到了吧,0
小邱这件事情啊,0
你老婆是你老婆跟我有什么关系呀,1
二般见识我也不怕呀你这就不应该来,0
充其量就是个纸老虎,1
我周瑜万不能行篡逆之事,0
这2203来了个这,1
整个冲掉了,1
不能混淆,0
什么关系都没有,0
跟狗似的追着你叫,1
你倒是想去人家搭理你吗,1
要等五十年以后才能打开的,1
为了维护大日本皇军的脸,0
就是来羞辱我,1
又是咱本地的知县把关系搞搞好,1
就不会让你坐地铁了,1
糊了更不能吃,0
我看你是害怕刘关张啊,1
对,0
还和区长套近乎,1
切不可喧闹,0
你做什么呀,1
他肯定有一堆理由来拒绝我们,0
这需要什么准备,1
岂能容我等,0
没错,0
不是轻度扭伤吗,1
你是不敢见他们,1
那是有名的大小姐,1
我跟你说豆豆,0
你和我都不是这么想的,0
我没物资啊,0
你之所以最后一秒赶到这儿来,1
我说陆处长啊,0
你读过大学没有啊,1
回来啦,0
也这么想他也是你们的爹,1
别那么客气,0
你可以自己去人力资源部面试呀,1
作为回报的那一种,1
妈我现在都不是您的媳妇儿,0
你忘了王大路,1
我可对你这老同志挺失望的,1
贤德仁义智勇双全,0
这夏东海也忒窝囊了,1
我跟俩孩子都说了别来往,0
哪有杯子下面会有一个洞啊,1
你这警局老这么人才紧缺不行啊,0
赵处长该您上场了,1
这事情不能怪他呀,0
人活着就得干净一点,1
我还没开口她就开口了,1
我随口说说的啦,1
可是你一会儿就画出来,0
连成,1
你又是个老上海,0
朝阳同学,0
可是,0
等于白说嘛,1
不用你瞎操心,1
你不知道,0
为难的就是你哥,0
好吃吗,0
我以为我以为你嫌弃我,0
难道先生不是卧龙先生,0
你怎么不把你的银行卡账号,1
就他们队长石青山,0
嗯,0
美嘉单身太久,1
春风吹又生啊,1
你们干嘛把牙膏牙刷,1
是吗,0
你帮我劝劝一菲吧,0
您快看看吧,0
