text,label
user اليوم قضينا على جبهة النصرة على أسوار حلب وغدا نقضي على داعش على أسوار تدمر إذا لم تفر والأيام بيننا وتذكر كلامي ده جيدا إنتهى,1
مع اشراقة كل شمس نبدأ عملنا بروح نشيطة وهمة عالية ويد واحدة ونية متجددة أحلى صباح لأجمل متطوعين فى اعظم حملة,0
"حسبنا الله ونعم الوكيل "" #انتخبوا_العرص #بيقولك_أعرف_بلدك #الحرية_للجدعان ناس عا…",1
نبض_الاخوان | #زواج_امريكا_من_مصر_باطل حشود هائلة ل ثوار #المطرية وشبرا الخيمة الجمعه 2/5,0
اجل اهزوجه ميسي الكلب القم ياكلب انت وياه,1
شاهد “JUUK”حزام من الألومنيوم لساعة أبل الذكية بسعر 50 دولار فقط http,0
user: اذا صرت اب وطلبني ولدي ايفون http,0
اتقدم بالشكر الجزيل للفنانة القديرة هالة فاخر على رايها الذى اعتز به كثيرا,0
user طلبته من ابل قالوا ممنوع نشحنه خارج امريكا، واضطريت أطلبه من امازون، متى يفتحون فرع ابل عندنا ونفتك من جشع هالحراميه,0
user اذا انت موافق تعرف حسابي على غوغل بلاسو لا تقول نعم و تبلبل فقط http,0
أهطل صفة مش شتيمة,1
اليمنية| اكاديمي اماراتي: #الميليشيات قتلت الهدنة في #اليمن منذ بدايتهاhttp http,0
أسرار نشأة السيسي داخل حارة اليهود بالقاهرة #الجمهور |#السيسي #انتخبوا_العرص #السيسي_يهودي #مصر #انقلا…,1
user: #في_بلادي_يوجدناس غلابه بتصدق احمد موسي ولميس وجوزها الاقرع ناس بتصدق ان السيسي بطل وان اوباما بيخاف منه وان اسرائيل بتت…,1
user: #فرنسا وكي مون يدعوان لإحالة جرائم الحرب في #سورية إلى الجنائية الدوليةhttp http,0
لاول مرة فى تاريخ الاسلام يهتف المصلون ضد خطيب الجمعة (قاتل) الداعية سالم عبد الجليل عبد البيادة نال ما يستحقه,1
إعجاب #ترامب بالكرملين.. ولع قديم من الرئيس الأمريكي الجديد بـ #موسكوhttp,0
مدرسة في مصر تعلم طلابها: إسرائيل طيبة القلب! http,1
حين نناقش قرار للحكومة نتحيز له بحجة :بلاد بره كلها بتنام بدري،تيجي لاطلاق حرية العقيدة: احنا مالنا ببلاد برة؟,1
user: أدعى ان هيلاري كلنتون انسحبت من سباق الترشيح للرئاسة الامريكية و ان ترامب هو الرئيس القادم، فقط حتى يشوف ردة فعل الشارع الامريكي.…,0
الأمم_المتحدة تنتظر موافقة #دمشق و #موسكو على هدنة جديدة في #حلب,0
أشارك في مسيرات اليوم رفضا للدستور المشوه، ولأخونة الدولة، وللانقضاض على سيادة القانون، ولتجاهل الرئيس وحكومته لمطالب العدالة الاجتماعية,0
لا حدا ينعي حلب... حلب ما بتموت حلب مااستسلمت ولا رح تستسلم يلي بدو ينعي (ينعي ضمائرنا المعفنة) #ستبقى_حلب#ستنتصر_حلب#حلب_تباد#Alep,0
user هذا اجرام بوتن وبشار بحق الطفولة في سوريا شاركو في نشر هكذا مقاطع لفضح تلك الجرائم وصمت المجتمع الدولي عنها بحجة محاربة اﻷرهاب,1
user #اليسا أختصرت جمال الكون كلوووو بـروعَة عيونـك ✨❤ http,0
إعلان لـ الشركة العربية للنقل والتجارة تعلن فيه عن رحلات بين #مصر و #فلسطين يومياً عام 1947 م http,0
أحس دونالد ترامب في زمناته كان قيي,1
لن أمل من تكرارها: أيام كان رئيسكم مرسي يحسن أحسنت أنا وغيري إليهلكنه منذ أن بدأ الكذب وإخلاف الوعود وتسبب في إسالة الدماء لا يستحق الإحسان,1
الصحافية ميشيل #جبران_تويني: طريقة التعاطي مع الوزارات وكأنها حصص طائفية يملكها الأطراف مهزلة ووقاحة غير مقبولة. تحالف الجميع فمن يُحاسبهم؟,1
user: الأرجنتين لا تساوي شىء بدون أحسن لاعب في المجرة ليونيل ميسي,0
تجنن ويد http,0
لما داعش اقتحم وعمل مجزرة سبايكر ولما احتل الرقة ولما جبهة النصرة ارتكبت مجزرة عدرا ولما خطفو الجنود اللبنانيين ليه ما حدا تضامن يا معرصين,1
أيها الاخوان الا تذكرون 52 شهيدا قتلتهم شرطة محمد ابراهيم بأوامر من مرسي عندما شكر مرسي القتلة واعلن حظر التجول اعترفوا بجرائمكم,1
حد يسأل سيسي لما قال بكره تشوفوا مصر يمكن قصده ان احنا هنبقي شحاتين وهنبقي فرجة والدنيا تضحك علينا,1
ال ع الشمال ده زيت #باسم_عودة الإرهابي أما اللي على اليمين ده زيت الإستقرار بتاع #السيسي م ل,1
user @user @user اتقي الله ياشيخه ده كفايه كليب بيونسيه لوحده يدخل النار حدف,1
أفضل افلام 2018 يجل عليك مشاهدتها http #مهرجان_القاهره_السينمايي #Henry_Welcome_to_Dubai,0
الكويت متبرعه حق لبنان !ليش ؟عشان يعالجون فيها النازحين السوريين اللي مصابين بالسرطان !شلون ولبنان يحكمه حزب الله ههههههههههه,1
ريكي مارتن و خطيبه http,0
الولايات_المتحدة شرطة نيويورك تنشر فيديو للص يسرق عبوة تحوي 39 كجم من السبائك الذهبية ويفربها بمنتهى السهولة http,0
user: للبيع بوكيمون http,0
غضب اعلام العار ممن سخروا من هزيمة مصر من غانا حتى لا تكون فرصة لتلميع سيسي والانقلاب رغم ان من سخروا لم يضروا,1
أنا أنتظرك لأنني لا أجد شيئاً آخر يُسليني في غيابگ عنّي ! #اعترافات_ليلية,0
كوبلر يقترح اختيار رئيس جديد للحكومة الليبية http #ليبيا #Libya,0
توقعات #عرعر باذن الله #طقس_العرب http,0
اعلام العار خيرى وباسم ولميس ركزوا سخريتهم ان مرسي نحس انهارده الاتقلاب ما بيفوتش وكل يوم مصيبة اكبر من الى قبله,1
user @user بوكيمون اجل كم انتم مصخره,1
user @user روسيا فشلت في محاولتها الاولى وستفشل مرة اخرى، اما عملائهم هذا ديدنهم، سل ابن سينا عن خيانتهم,1
كان يمكن للناس أن تصدق أكاذيب الإخوان عن الفلول لو لم يكن مرسي قد تحدث عن المصالحة الوطنية وشرفاء الحزب الوطني الذين نمد لهم الأياديخلصت,0
علامات: من علامات موت القلب عدم الحزن على مافات وعدم الفرح على ماهو آت,0
user: http الفلبين يشتم باراك أوباما#الإمارات_بعيون_عربية http,1
user: من قرأ وجه رجب طيب #أردوغان في مجلسه بجانب #بوتين ...يحتاج إلى أن يتذكر قول المتنبي : ومن نكد الدهر على الحر أن... http,0
السنه الجايه انشاء الله مهرجان القاهرة السينمائي هيكون برعاية شرطة الآداب #مهرجان_القاهره_السينمائي http,1
EgyptAir حد سمع ولا شاف الصندوقين اخر 30 دقيقه في الكابينه بتتسجل صوت - وغالبا هو صاروخ من اي كلب معدي في المتوسط و غالبا روسيا غل و انتقام,1
user أكيد انت مولوده فى موسكو,0
user @user فيه مثل عظيم في مصر بيقول .. الخلفة الوسخة بتجيب لاهلها التهزيق .. سامع يا سيسي,1
user @user @user @user نعم السعوديةمعلنة ان جبهة النصرة ارهابية و تحارب جبهة النصرة الارهابيةفرع القاعدةفي الشام,0
بذوب بضحتك الله يخليلنا إياها وما يحرمنا منها #نادين_نسيب_نجيم #في_بيتنا_ضيف #nnn #nadinenassibnjeim @user http,0
انقلاب_مصر #الفيوم|25-4-2014 #حاميها_حراميها,1
هدية لوقفتكن مع حلب ومع جبهة النصرة.تحديدا@user @user,0
بين فسيفساء التكفير والتفكير مساحة ليست بالواسعة المنبسطة ولا هي ارض قحط وعرة #مصر #لبنان #تونس #الأردن #الإمارات #السعودية #العراق #فلسطين,0
أحمد_موسى ما استطاع الرد على #باسم_يوسف وقد جعله مسخرة المصريين ويتطاول فقط على #الرئيس المنتخب من شعب #مصر,1
توقعات ظهور الركاميات الماطرة على أنحاء متفرقة من مرتفعات #جازان #عسير #الباحة #الطائف #العيص مرتفعات #اليمن… http,0
نوال الزغبي صوت الهدوء ❤️❤️,0
user: شاهد | #أردوغان للعبادي: أنت لست من مستواي ولا من قيمتي.. الزم حدودك! http,1
"رماد #كاسترو "" يعرج على ضريح جيفارا ويواصل المسيرة#اسأل_أكثر .http",0
نتهم عصام العريان وحزب الحرية والعدالة بإحداث فتنة وقتل وإصابة مصريين,1
"user: ﺃﻥ ﺍﻟﺸﻴﻄﺎﻥ ﺍﻟﺮﺟﻴﻢ ﻟﻮ ﻧﻜﺢ ﺃﺑﺎﻟﺴﺔ ﺍﻹﻧﺲ ﻭﺍﻟﺠﻦ، ﻓﻠﻦ ﻳﻨﺠﺐ ﺃﻗﺬﺭ ﻭﻻ ﺃﺑﺸﻊ ﻭﻻ ﺃﻧﺠﺲ ﻣﻦ ﺍﻟﻌﺎﺋﻠﺔ ﺍﻟﺴﻌﻮﺩﻳﺔ "". ﻣﻨﻘﻮﻭﻭﻭﻭﻭﻭﻝ",1
لعبة #SuperMarioRun تم تحميلها أكثر من 2.85 مليون مرة خلال 24 الأولى من إطلاقها http,0
أعطي رسول الله المرأة مكانة عالية وجعل لها دور كبير في المجتمع شاهد لتعرف #يوم_المرأة_العا…,0
user: -النّك حقها بنت ذاك الامير ، و ما خلت مسابقةة أيفون ما دخلت فيها,0
كل البلاوي اللي #الداخليه هتعملها بعد كده فينا هتبقى بإسم #مكافحة_الارهاب وهنرجع تاني نغني لفق لفق في القضيه بتاعت #الالتراس #النظام_هو_هو,1
"موسى"" تعقيبا على أحداث حلب: الجامعة العربية فشلت وعلى مصر والسعودية حل الأزمة فورا http http",0
عادة لا اعلن عن مواقفي السياسيةلكن كله الا الدستور في كلمة واحدة:مهزلةو لو وصلنا لمهزلة الاستفتاء حقول لا,1
طريقة تعطيل محرك البحث بينج في ويندوز 10 http,0
الكرملين: الرئيس الروسي بوتن تحادث مع الرئيس الإيراني روحاني وبحثا الملف السوري #لبنان_الآن,0
user: #من_دمشق_هنا_صنعاءاللعنة عليكم يا فساق الخليج تفوقتم على الصهاينة بجرائمكم ضد الاسلام و المسلمين و أظهرتم حقيقة دينكم,1
user: #أردوغان : إذا كان المرتكب غير مسلم لا يسمونها عملية إرهابية ولا يتحدثون عن الإرهاب اليهودي والبوذي والملحد #تركيا_بوست,1
بس_سؤال وين الثورة اللي استشهد بإسما جبران؟ شو عملتو فيا بعد ١١ سنة؟ ما بقي منا الا ذكرى هالنهار و ذكرى الشهداء... #بدي_جواب #جبران_تويني,0
شبكة_أخبار_المعارك أطفال اصيبوا نتيجة الغارات الروسية على مدينة #حلب صباح اليومحسبنا الله ونعم والوكيل http,1
ده #MannequinChallenge بس بطريقه محترفه http,0
اه يالقهوه مٓ شاء الله❤️#حزب_الاعاده,0
user الانحراف فيه من اول بس كان ممسوك,1
"رآمي عيآش ""شعرهآ بيطير على خد حرير"" http",0
user: احذر عدوك مره وصاحبك ألف مره وهالمثل ينطبق علينا مع سيسي #مليارات_العمره_علي_هوي_مصر,0
في الوقت اللي يجتاح فيه اليمين المتطرف أوروبا وترامب أمريكا والعالم ، يتم تعيين ملحد يبت في أمور المسلمين .!! . #اول_لاديني_بمجلس_الشوري,1
user كلك زوق بجد، والأكيد إنه يلي لقيته فينا بعضٌ مما عندكم.. لإنه فانز #اليسا بجننوا متلها قلباً وقالباً❤ تانكيو,0
بتعرفني انا يا حبيبي قلبي معلق فيك و صدقني انا انا بنسى حالي و ما بنسيك و ايام الهنا يا حبيبي عشت بقربك انت ما انت #نوال_الزغبي,0
انتخبوا_العرص #انتخبوا_البرص #مرسى_رئيسى #اين_رئيسى #_ #__ö,1
اللهم أستودعك أهلي وأحبتياللهم أستودعك بلادي #ليبيا وأهلها وشبابها اللهم أنعم علينا بالأمان والاستقرار وحسن المعيشة والتغيير للأفضل,0
عدن_لنج |السلطان علي عبدالكريم في ذمة الله مات سيد الرجال .. مات اشرف الرجال#عدن #اليمنhttp http,0
user !!!!!!!!!! والله موقف سيسي مشرف متخليش كرهك لسيسيي يعمي عنك حقيقة مصر اخدت موقف سيادي ماذا دخل سعودية ؟ كل بلد حر في قراره,1
user جبهة فتح الشام لا تزال في نظر الغرب فرع الشام لتنظيم القاعدة في خراسان حتى بعد فك ارتباط النصرة مع خراسان,0
"كنت أعتقد أن خدمة ""غوغل ترجمة"" سيئة جدًا إلى أن جربت ""بينغ"". ملك جمال الترجمة #غوغل",1
اي أمرأة تصنع الحب والايثار والاهتمام والعطف والحنان مؤهلة ان تصبح أم مثالية,0
"عطر غوتشي بامبو"" الجديد يحاكي الطيور http http",0
user في الاخير تراه لاعب لاراح ولا جاءحسستوني انه ميسي ولا رنالدوماطيره للسماء الا انتم ماشفتو خير اول مره تجيبون مهاجم يسجل,1
فضيحة من العيار الثقيل لواء شرطة يفضح استعانة الشرطة بنخنوخ والبلطجية #مصر,1
الدكتور حازم الببلاوى طلع اخوان--------------هههههههههههههههه #الببلاوي: اعتبار الإخوان جماعة إرهابية كان قرارا,1
ما اسخف مطاردة الارهاب و هو في مجلس الأمن ! #لافروف,1
3 عجز الحكومة المصرية المتواصل عن التعامل بفاعلية مع الأزمة وإخفاقها في إدارة ملف المفاوضات مع الصندوق بشفافية,0
user: #حلب الصمودقصة صمود في صورتينبعيون أبناء الشهباءلك الله و لقاتلك الخزي والعاروجهنم في الآخرة http,0
جمال #خيال #حقيقه #جميل #درر #حكم #أعجبني #حكمه #بقلمي #شوق #بوح #شعر #قصيد #رتويت خمس الاف متابع بـ 200 ريال 132,0
المعلمي: فيتو #روسيا و #الصين مخيب للآمال#الحركة_الشعبية_السورية http,1
user: #بلحه_نيته_سوده دراسة إسرائيلية: السيسي يسعى لإدماج إسرائيل فى المتطقة العربية http,1
عادل_اماممن اخر حلقة في مسلسل مأمون و انا حاسس انك هتموت السنادي,0
بنك_مصر_لبنان يواصل خططه التوسعية ويفتتح فرعاً جديداً في #البقاع_الغربيhttp http,0
"وليس لديه عيادة ""بس يسوي دورات تنمية بشرية يضحك بيها عالناس بفلوس، اعلانات ، صفحة فيسبوك والخ ....انسانية … http",1
أتمنى وبقوة وخاصة الصفوف الدنيا فالنساء افضل بطريقة التعامل مع الأطفال #ماذا_لو_المدارس_مختلطه,0
الماظة:لابد من تسليط الضوء إعلامياً على مشكلة تملك المساكن وتحقيق العدالة بوضع نظام لتملك الشقق يراعي البعد الاجتماعي والمادي للعاملين,0
كانت طائرات الناتو تقصف مواقع الشعب المسلح ف المعسكرات والجبهان مع لحظة ارتفاع ادان المغرب ف شهر رمضان لقد كانوايقتلون الرجال ويستهزون تبع,0
user داعش. http,0
user: كلام فارغ سمعناه الف مرة وخطوط اردوغان الحمراء اصبحت كقوس قزح يتغير لونها حسب اوامر امريكا وما احداث سوريا عليكم ببعيد. htt…,1
user @user الصوره متلاعبين فيها دامجين ملامح زين مالك و جستن بيبر,1
إنسان أيا إنسان ما أجهلك ما اتفهك في الكون وما أضألك شمس وقمر وسدوم وملايين نجوم وفاكرها يا موهوم مخلوقة لك عجبي! #صلاح_جاهين,1
هذا ما يحدث عندما لا تقول الحق وتمسك بالعصاية من النص وترفض إدانة عنف السلطةهذا هو الأمن على الطريقة الإخوانية,1
“الغيطي”: “إسرائيل لعبت بقبرص واليونان أثناء حكم مبارك.. وإحنا نايمين في العسل” http,0
user: #هاهم اليهود يدرسون التوراة حتى داخل اقسام الشرطة بينما يطالب رموز العلمانية عندنا بغلق حلقات التحفيظ ونبذ الاسلام بزعم أ…,1
الزباله vs غوتشي. http,1
حاضر حنسكت و مش حنقربله بنقد او سخرية عشان هو الاغلبيةحاكون امعة و امشي مع الرايجة حاضر,1
user: طنط منى بتاع المنوفيهنووووو اوباما سيسى يسمعلش من المنوفيه ههههههههههه http,1
نقطة أخيرة قانون التظاهر الذي يحتاج إلي إعادة النظر في عقوباته كما يقول #الببلاوي أصدره هو في عهده وبنفسه أرائيتم كيف وصل العبث بعقولنا؟,1
في فن من أرقي الفنون في العالم تعلمناه من حبيبنا المصطفي إنه فن تجميع القلوب تعالوا نتعرف علي الفن ده و,0
شتان بين هيلاري كلنتون ونورية بن غب,1
الأمم_المتحدة بصمتهاالمخزي تعتبر شريك مباشر لمجازر العدوان السعودي الأمريكي #Airstrikes_Bomb_Yemen_Funeral http,1
user: روبرت دنيرو عن دونالد ترامب...مختصر مفيد..(مترجم للعربي) http,0
ببساطه كده مصرعباره #ملك سيسي #وزيرجيش#حصان شرطه#القضاء تابيه#اعلام فيل# شعب الباقي# >شطرنج,1
من #بروكسل | الأمين العام لـ«#الناتو» واثق من قيادة ترامب للحلفhttp http,0
صور مقتطفات من مهرجان (الانتصار) الذي أقامته حركة المقاومة الاسلامية #حماس في مخيم البريج لتكريم أبطال كرة... http,0
"داعش تفقد احد اهم قادته الإعلامي "" أبو محمد الفرقان"" ولاية #الأنبار http",0
اتمنى ان يحقق الرئيس مرسي وعده بإعادة تشكيل اللجنة التأسيسية حتى يجنب مصر صراعات ستدفع ثمنها غاليا لابد من تطهيرالدولة من الفاسدين والفلول,0
user: ما أشبه اليوم بالبارحه #حمص قبلهاهذه أفعال بوتين وذيله الكلب لـ مدينة الأشباح #حلب والعالم يتفرج❗️الله غالب☝️#حلب_…,1
user: رئيس الكونغرس يتهم البيت الأبيض بحماية الأسد، و يطلب أن يتوقف أوباما عن معارضته لفرض عقوبات جديدة على نظام الأسد ..h…,0
لافروف: إلغاء اجتماع #جنيف حول #حلب بسبب عدم مشاركة #واشنطن http,0
user لو أصلا المجتمع الدولي يعرف العيب ؟هو مجتمع قمامات وقاذورات,1
user: فيصل القاسم: بشار الأسد مستعد لبيع أمه كما باع الكيماوي كي يرضي الأمريكان http http,1
على طريقة #عادل_إمام .. سعدية ومجدي تزوجا داخل قسم شرطةhttp http,0
مبارك راجل كويس واﻻخوان اعدااااالم على طول الخط,1
إيجار مش بيع يا سيسي.. متستسهلش http,1
ليس غريباً على من تربوا في حضن #البعث، أن يتسابقوا الى #الاستانة و #موسكو و #حميميم،عليهم فقط أن يفعلوا ما كانوا... http,1
سبحان الله حتى اليهود ثاروا ضد التقتيل الذي تمارسه روسيا و بشار و إيران المجوسية و العرب مبلطين أمام التلفزات لمتاب… http,1
ميناء بنغازي 1954 .#بنغازي #ليبيا http,0
يتعشّى بالأرز وينام في فراش إسرائيل http,1
الجزار الفاشل يحضر الآن سكينه لكي يذبح بعض كباش الفداء قبل أن يكتشف أن المشكلة أعمق من فشل الأشخاص فهي مشكلة فشل سياسات,1
user: سؤال يحتاج إلى جواب..#مصر تغلق مسجد الحسين امام الرافضة لإحياء #عاشوراء..#تركيا وأردوغان تسمح للرافضة بإحياء عاشوراء…,0
دونالد ترامب رداً على انتقاده بشأن تصريحه المشين المسرب بحق النساء : أنا تحدثت بسوء عن النساء هذا صحيح ولكن بيل... http,1
user يعني حيكون زي اللورد دارث فيدرر ههههههههههههههههه,1
لا اعلم كيف يؤمن المحاضرون بالندوة بالعلمانية في ظل ابتعاد جميع دول العالم عن مفهوم تطبيق العلمانية وتصاعد اليمين المتطرف في اوروبا2️⃣,0
user: يالهووووى ع الارهاب يا جدعان http,1
"user: #فيدرر :""الحافز لدي اقوى من اي وقت مضى..و اتطلع للمشاركة في #استراليا_المفتوحة ""#Federer #RogerFederer http",0
تغريدة إطمئنان ...هل الجميع ⁧مفلس؟!#ليبيا,1
انا حاسس ان التناكه شويه تانى هتوصل بالناس هنا وتقولك راعى فرق الفولورز اللى بينى وبينك لو سمحت,1
اهو دا اللي صار: رائعة #سيد_درويش بصوت الجميلة #دينا_الوديدي,0
user @user @user والله كلام طويل يااخي ابحث ف جوجل,0
و الله بتوع شبكة المخلص دول دمهم خفيف الوجه البذئ الذي يضع قناع الدين,1
99% من منتقدين هاري بوتر ما شافوه وال %1 مجرد حشرات لا يستطيع اي شي تطهيرها,1
كلمة_شكر ل عآدل عبدالله ع البلنتي و الطرد اللي حصله ، اصلاً الطرد احلى,1
user ايه اقتباس من جستن بيبر الشاذ اةةة,1
الإصرار علي الإستفتاء في ظل وطن ممزق وغليان شعبي وغياب أمني وقضاء معطل واعلام محاصر هو انعدام للإحساس بالمسؤولية نحو مصر,1
